danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
0.679,0.377,0,-10.919,0.0356,0.918,0.55,0.103,0.309,86.736,02wyvryqMZTO8Ca3QB77rz,4
0.399,0.242,3,-21.4,0.0615,0.57,0.89,0.113,0.494,91.246,3aC21UUhGQKWMj5NSbYQEO,4
0.727,0.689,5,-7.481,0.069,0.262,0.0,0.799,0.808,122.641,5G5uIDkQytLq7yOacUcjJ9,4
0.479,0.725,4,-5.615,0.0298,0.24,1.19e-05,0.158,0.595,126.727,3FIuBxOxuQ6kYy8JO0gq2a,4
0.605,0.662,10,-6.993,0.0924,0.432,0.0,0.116,0.953,93.771,0m3hiKjI2QGSKxvG732Ekq,4
0.447,0.419,2,-13.847,0.0675,0.919,0.00273,0.286,0.715,77.116,4PxmjaZFEnbHORLxqDpyMZ,4
0.542,0.289,7,-9.712,0.0351,0.812,4.27e-05,0.126,0.188,104.986,5zfWoufXTAXICVcxgR5fYO,4
0.508,0.34,9,-11.311,0.0384,0.0863,0.000325,0.262,0.396,125.519,6vgKWE1KV4E7p1Dv75z0kL,4
0.412,0.855,9,-5.012,0.0574,0.664,0.0,0.158,0.847,91.47,2ZM9Ee68hmUuztCIdYVetd,4
0.435,0.671,2,-10.75,0.0586,0.487,0.0,0.589,0.792,157.564,0rfbvwLPBLBsEd4Bxz8IVb,4
0.599,0.241,0,-14.282,0.0404,0.788,2.42e-06,0.287,0.698,127.419,0by19mYM0du6rkzugAogN9,4
0.503,0.503,0,-15.478,0.0552,0.429,0.0,0.374,0.954,86.288,2thBIDQBbBSUG7tcwUw7Mw,4
0.513,0.539,5,-7.537,0.0402,0.35,0.349,0.0763,0.919,159.811,73TTpGtSDdXRP8J7loLifZ,4
0.624,0.602,11,-14.782,0.0525,0.811,0.00267,0.334,0.81,99.241,6ZWKdeSU2GutCuqPinwJH5,4
0.705,0.337,11,-14.457,0.343,0.284,3.12e-06,0.0747,0.6,96.556,3C8ULtjiUmTtcpE7QJBZ7G,4
0.493,0.379,9,-13.311,0.0657,0.423,4.75e-06,0.0446,0.715,151.432,4kb9qBVRNL3yMlJ9LjRBgt,4
0.492,0.743,4,-5.807,0.135,0.461,0.0,0.0797,0.774,84.929,399Hm1oqfzzQaZRu3CtVMb,4
0.67,0.669,2,-7.081,0.0476,0.831,6.89e-05,0.101,0.927,118.968,6wUp7y502iyWLuLuurlOyw,4
0.618,0.876,9,-8.059,0.0389,0.4,0.0,0.19,0.967,138.783,0SfcG65T1KKCj5NQffpzQR,4
0.589,0.203,11,-9.952,0.0346,0.98,4.89e-05,0.0947,0.252,114.215,5SsZvIEKqUn921FiTyufSV,4
0.544,0.493,1,-8.476,0.034,0.618,0.0274,0.112,0.403,111.67,3MSHLD5bTsu2nej6VAtXUc,4
